Model,Feature set,Region,support,positives,precision,recall,f1,F1 error,PR-AUC,PR-AUC error,ROC-AUC,Brier,threshold,evaluation_type,is_primary
Minimal MLP (global full),global full NN features,Global,321173,49514,0.3672254539,0.8198085390000001,0.5072383178000001,0.002736429,0.470318565,0.0030816157,0.8518846384000001,0.1088568329,0.2953715026,legacy_sampled_case_control,0.0
Poisson Point-Process GLM,full features,Global,321173,49514,0.3162600462,0.8479823888,0.4606994925,0.0021505428,0.4600933589,0.0037491662,0.8382630132000001,0.1223039789,0.32268098,,
LSTM embedding fusion (global full),global full NN features,Global,321173,49514,0.349507182778608,0.8171426263279072,0.4896023040108424,0.0026747345770271,0.4515758303763811,0.0018488776876774,0.844086084329938,0.1167445314414454,0.2341229170560836,legacy_sampled_case_control,0.0
TemporalConvNet / TSN-MLP (global full),global full NN features,Global,321173,49514,0.2482469117,0.9387647938,0.3926590779,0.0010940589,0.449225184,0.0055816101,0.82967642,0.1210734064,0.1911493838,legacy_sampled_case_control,0.0
LSTM attention (global full),global full NN features,Global,321173,49514,0.3271813269,0.8399442582000001,0.4709246038,0.0022937606,0.4464965735,0.0032362593,0.8399825372,0.116960317,0.2067688853,legacy_sampled_case_control,0.0
LSTM static concat (global full),global full NN features,Global,321173,49514,0.3750715597,0.7674597084,0.5038852203,0.0006942992,0.4374845872,0.0030066256,0.8468918107000001,0.1140702047,0.320505619,legacy_sampled_case_control,0.0
FT-Transformer (global full),global full NN features,Global,321173,49514,0.2989294697,0.8329563356,0.4399652235,0.0028406258,0.4234355108,0.0029444558,0.8143480561,0.1217480281,0.1592247635,legacy_sampled_case_control,0.0
TemporalConvNet embedding fusion (global full),global full NN features,Global,321173,49514,0.29154555373249935,0.7069717655612554,0.4128410612037905,0.0014246544162702607,0.3727605616210954,0.005861462113608074,0.7737681881194544,0.11465919161761504,0.16722270846366882,legacy_sampled_case_control,0.0
Weather-only CatBoost,meteorology/history features only,Global,321173,49514,0.2879690771,0.794441976,0.422713205,0.0012598878,0.3422214798,0.0044286229,0.7776144578,0.2447989231,0.500519092,,
FWI-only CatBoost,fire-weather variables only,Global,321173,49514,0.2063773763,0.9370885002,0.3382590946,0.0015819335,0.3127228753,0.0053764857,0.7253525528,0.2201725463,0.464663872,,
Logistic Regression (linear SGD),full features,Global,321173,49514,0.2512035381,0.9590014945,0.3981219083,0.0016730994,0.2500310192,0.0012731445,0.7246138571,0.4742888602,1.0,,
CatBoost deployment-weighted,all features,Global,321173,49514,0.1982724493,0.9508219897,0.3281223864,0.0006813206,0.2408301295,0.0018228832,0.6889189202,0.2227068222,0.4626545382,,
