region_display,model_name,period_start,period_end,observed_positive_locations,average_precision,spatial_tolerant_average_precision,spatial_tolerant_weighted_brier_score
Europe,Spatial climate TSN-MLP (global full),2021-11-19,2021-11-21,3,1.0,1.0,0.024
Europe,Spatial climate TSN-MLP (global full),2021-11-18,2021-11-20,3,1.0,1.0,0.0291
Europe,Spatial climate TSN-MLP (global full),2022-01-16,2022-01-18,2,1.0,1.0,0.0104
Europe,Spatial climate TSN-MLP (global full),2022-09-16,2022-09-18,1,1.0,1.0,0.0259
Europe,Spatial climate TSN-MLP (global full),2024-03-09,2024-03-11,2,1.0,1.0,0.0284
Europe,Spatial climate TSN-MLP (global full),2024-03-02,2024-03-04,1,1.0,1.0,0.0223
Europe,Spatial climate TSN-MLP (global full),2023-10-07,2023-10-09,2,1.0,1.0,0.0229
Far East,Spatial climate TSN-MLP (global full),2021-10-15,2021-10-17,2,1.0,1.0,0.0811
Global,Spatial climate TSN-MLP (global full),2021-03-02,2021-03-04,1,1.0,1.0,0.013
Far East,Spatial climate TSN-MLP (global full),2021-01-02,2021-01-04,2,1.0,1.0,0.1423
Global,Spatial climate TSN-MLP (global full),2022-09-28,2022-09-30,9,1.0,1.0,0.0314
Global,Spatial climate TSN-MLP (global full),2023-01-23,2023-01-25,1,1.0,1.0,0.0135
Global,Spatial climate TSN-MLP (global full),2022-11-05,2022-11-07,4,1.0,1.0,0.0183
Global,Spatial climate TSN-MLP (global full),2022-11-04,2022-11-06,4,1.0,1.0,0.022
Europe,Spatial climate TSN-MLP (global full),2023-09-21,2023-09-23,1,1.0,1.0,0.0792
Global,Spatial climate TSN-MLP (global full),2024-03-09,2024-03-11,2,1.0,1.0,0.0199
Europe,Spatial climate TSN-MLP (global full),2023-11-08,2023-11-10,1,1.0,1.0,0.0129
Europe,Spatial climate TSN-MLP (global full),2023-01-25,2023-01-27,1,1.0,1.0,0.0193
Europe,Spatial climate TSN-MLP (global full),2023-01-24,2023-01-26,1,1.0,1.0,0.0261
Europe,Spatial climate TSN-MLP (global full),2022-11-01,2022-11-03,2,1.0,1.0,0.0181
Europe,Spatial climate TSN-MLP (global full),2022-10-23,2022-10-25,2,1.0,1.0,0.0157
Europe,Spatial climate TSN-MLP (global full),2022-10-22,2022-10-24,2,1.0,1.0,0.0156
Europe,Spatial climate TSN-MLP (global full),2022-10-21,2022-10-23,2,1.0,1.0,0.015
Europe,Spatial climate TSN-MLP (global full),2021-03-25,2021-03-27,1,1.0,1.0,0.0362
Europe,Spatial climate TSN-MLP (global full),2021-03-24,2021-03-26,1,1.0,1.0,0.0362
Europe,Spatial climate TSN-MLP (global full),2022-11-03,2022-11-05,2,1.0,1.0,0.0142
Europe,Spatial climate TSN-MLP (global full),2022-11-02,2022-11-04,2,1.0,1.0,0.0188
Global,Spatial climate TSN-MLP (global full),2024-03-10,2024-03-12,1,1.0,1.0,0.0163
